timestamp,pair,side,quantity,price,value,commission
2026-03-02 01:00:00+00:00,TRX/USD,SELL,7156.653987767862,0.2818,2016.7450937529836,0.20167450937529838
2026-03-02 01:00:00+00:00,TRX/USD,SELL,28626.615951071446,0.2818,8066.980375011934,0.8066980375011934
2026-03-02 02:00:00+00:00,TRX/USD,BUY,25013.80827189934,0.2815,7041.387028539663,0.7041387028539664
2026-03-02 03:00:00+00:00,TRX/USD,SELL,5002.761654379869,0.2812,1406.776577211619,0.14067765772116192
2026-03-02 03:00:00+00:00,TRX/USD,SELL,20011.04661751947,0.2812,5627.106308846475,0.5627106308846476
2026-03-02 04:00:00+00:00,TRX/USD,BUY,18578.727309778296,0.2812,5224.338119509657,0.5224338119509657
2026-03-02 05:00:00+00:00,TRX/USD,SELL,3715.7454619556593,0.2812,1044.8676239019314,0.10448676239019315
2026-03-02 05:00:00+00:00,TRX/USD,SELL,14862.981847822637,0.2812,4179.470495607726,0.4179470495607726
2026-03-02 06:00:00+00:00,BNB/USD,SELL,5.835633104610583,617.25,3602.0445338208824,0.3602044533820883
2026-03-02 06:00:00+00:00,BNB/USD,BUY,8.379707020601828,617.25,5172.374158466478,0.5172374158466478
2026-03-02 06:00:00+00:00,TRX/USD,BUY,23575.382439830482,0.2812,6629.397542080332,0.6629397542080332
2026-03-02 07:00:00+00:00,TRX/USD,SELL,4715.0764879660965,0.2813,1326.351016064863,0.1326351016064863
2026-03-02 07:00:00+00:00,BNB/USD,SELL,8.379707020601828,616.67,5167.513928394529,0.5167513928394529
